player_name,previous_injury_date,next_injury_date,num_games,average_spin_rate,average_velocity,average_effective_speed,average_vx0,average_vy0,average_vz0,weight,height,bats,throws,recurrence,EVENT
"Hensley, David",2024-01-01,2024-12-31,1,1784.5,75.30384615384615,74.75769230769231,3.4298991489478423,-109.55661903924648,-1.9631970662329512,190.0,78.0,2,1,0,False
"Herget, Kevin",2024-01-01,2024-12-31,7,2177.2546684031254,87.73232997172688,86.60887720118436,5.572978030699539,-127.5485477362613,-5.480201926489722,185.0,70.0,1,1,0,False
"Hernandez, Adrian",2024-01-01,2024-12-31,1,2022.8,83.2,81.5,3.2128676301057792,-121.13667200779928,-0.23584022374829075,185.0,73.0,2,1,0,False
"Hernandez, Nick",2024-01-01,2024-12-31,5,2562.432207792208,85.7289025974026,86.17720779220778,6.091862637277691,-124.68798018379195,-3.4060693755063776,212.0,73.0,2,1,0,False
"Hernández, Daysbel",2024-01-01,2024-12-31,17,2601.5988991143017,92.7545851298684,92.9328990188518,4.657064937715481,-135.0019548122944,-4.782095685419315,220.0,70.0,2,1,0,False
"Herrin, Tim",2024-01-01,2024-12-31,88,2338.317177118667,88.29585452176926,88.68741230903275,-5.7337399561123865,-128.45407170343427,-3.3187838445943685,230.0,78.0,1,0,0,False
"Hicks, Aaron",2024-01-01,2024-12-31,1,1525.7777777777778,65.94999999999999,63.650000000000006,4.649180098140117,-95.8798754486962,-0.682544352368036,205.0,73.0,0,1,0,False
"Hill, Rich",2024-01-01,2024-12-31,4,2348.88875,79.2681875,79.1036875,-5.2394464431480925,-115.19822227868175,1.2364358768450812,221.0,77.0,1,0,0,False
"Hill, Tim",2024-01-01,2024-12-31,75,2114.9018150004413,88.81010210565793,89.27833824474338,-11.576497932240986,-128.65431115617486,5.026988762848117,200.0,76.0,2,0,0,False
"Hoffman, Jeff",2024-01-01,2024-12-31,75,2591.389339141136,91.86599568062113,92.11204417533786,8.052354585675323,-133.47469340672097,-5.072083882924339,235.0,77.0,2,1,0,False
